"Measure code","SEX","COUNTRY_REGION","YEAR","VALUE"
"REHAB_1","FEMALE","AND","2001","38400.73"
"REHAB_1","MALE","AND","2001","39716.67"
"REHAB_1","ALL","AND","2002","39446.66"
"REHAB_1","FEMALE","AND","2002","38793.07"
"REHAB_1","MALE","AND","2002","40053.38"
"REHAB_1","ALL","AND","2003","39194.86"
"REHAB_1","FEMALE","AND","2003","38525.86"
"REHAB_1","MALE","AND","2003","39812.80"
"REHAB_1","ALL","AND","2004","38874.58"
"REHAB_1","FEMALE","AND","2004","38244.92"
"REHAB_1","MALE","AND","2004","39452.71"
"REHAB_1","ALL","AND","2005","38762.56"
"REHAB_1","FEMALE","AND","2005","38220.17"
"REHAB_1","MALE","AND","2005","39260.09"
"REHAB_1","ALL","AND","2006","38883.09"
"REHAB_1","FEMALE","AND","2006","38374.93"
"REHAB_1","MALE","AND","2006","39346.35"
"REHAB_1","ALL","AND","2007","39232.69"
"REHAB_1","FEMALE","AND","2007","38685.94"
"REHAB_1","MALE","AND","2007","39731.18"
"REHAB_1","ALL","AND","2008","39630.07"
"REHAB_1","FEMALE","AND","2008","39014.99"
"REHAB_1","MALE","AND","2008","40192.38"
"REHAB_1","ALL","AND","2009","40197.28"
"REHAB_1","FEMALE","AND","2009","39494.77"
"REHAB_1","MALE","AND","2009","40844.46"
"REHAB_1","ALL","AND","2010","40591.29"
"REHAB_1","FEMALE","AND","2010","39844.01"
"REHAB_1","MALE","AND","2010","41284.01"
"REHAB_1","ALL","AND","2011","40391.06"
"REHAB_1","FEMALE","AND","2011","39841.96"
"REHAB_1","MALE","AND","2011","40917.42"
"REHAB_1","ALL","AND","2012","40561.82"
"REHAB_1","FEMALE","AND","2012","40143.36"
"REHAB_1","MALE","AND","2012","40964.71"
"REHAB_1","ALL","AND","2013","40980.65"
"REHAB_1","FEMALE","AND","2013","40578.68"
"REHAB_1","MALE","AND","2013","41368.76"
"REHAB_1","ALL","AND","2014","41334.34"
"REHAB_1","FEMALE","AND","2014","40932.64"
"REHAB_1","MALE","AND","2014","41721.55"
"REHAB_1","ALL","AND","2015","41678.49"
"REHAB_1","FEMALE","AND","2015","41273.80"
"REHAB_1","MALE","AND","2015","42067.84"
"REHAB_1","ALL","AND","2016","42338.33"
"REHAB_1","FEMALE","AND","2016","41822.89"
"REHAB_1","MALE","AND","2016","42832.58"
"REHAB_1","ALL","AND","2017","42994.84"
"REHAB_1","FEMALE","AND","2017","42324.71"
"REHAB_1","MALE","AND","2017","43634.86"
"REHAB_1","ALL","AND","2018","43329.58"
"REHAB_1","FEMALE","AND","2018","42746.50"
"REHAB_1","MALE","AND","2018","43884.42"
"REHAB_1","ALL","AND","2019","43479.16"
"REHAB_1","FEMALE","AND","2019","43149.36"
"REHAB_1","MALE","AND","2019","43791.91"
"REHAB_1","ALL","ARM","1990","35411.20"
"REHAB_1","FEMALE","ARM","1990","32023.21"
"REHAB_1","MALE","ARM","1990","38935.98"
"REHAB_1","ALL","ARM","1991","35321.40"
"REHAB_1","FEMALE","ARM","1991","32058.50"
"REHAB_1","MALE","ARM","1991","38723.83"
"REHAB_1","ALL","ARM","1992","35245.86"
"REHAB_1","FEMALE","ARM","1992","32103.62"
"REHAB_1","MALE","ARM","1992","38532.04"
"REHAB_1","ALL","ARM","1993","35177.07"
"REHAB_1","FEMALE","ARM","1993","32150.27"
"REHAB_1","MALE","ARM","1993","38353.70"
"REHAB_1","ALL","ARM","1994","35166.39"
"REHAB_1","FEMALE","ARM","1994","32242.09"
"REHAB_1","MALE","ARM","1994","38248.13"
"REHAB_1","ALL","ARM","1995","35235.03"
"REHAB_1","FEMALE","ARM","1995","32412.86"
"REHAB_1","MALE","ARM","1995","38221.73"
"REHAB_1","ALL","ARM","1996","35343.15"
"REHAB_1","FEMALE","ARM","1996","32594.54"
"REHAB_1","MALE","ARM","1996","38263.28"
"REHAB_1","ALL","ARM","1997","35463.43"
"REHAB_1","FEMALE","ARM","1997","32759.78"
"REHAB_1","MALE","ARM","1997","38345.90"
"REHAB_1","ALL","ARM","1998","35590.25"
"REHAB_1","FEMALE","ARM","1998","32925.05"
"REHAB_1","MALE","ARM","1998","38440.61"
"REHAB_1","ALL","ARM","1999","35745.32"
"REHAB_1","FEMALE","ARM","1999","33131.81"
"REHAB_1","MALE","ARM","1999","38548.57"
"REHAB_1","ALL","ARM","2000","35956.19"
"REHAB_1","FEMALE","ARM","2000","33446.23"
"REHAB_1","MALE","ARM","2000","38655.63"
"REHAB_1","ALL","ARM","2001","36067.81"
"REHAB_1","FEMALE","ARM","2001","33800.77"
"REHAB_1","MALE","ARM","2001","38511.70"
"REHAB_1","ALL","ARM","2002","35981.39"
"REHAB_1","FEMALE","ARM","2002","34109.42"
"REHAB_1","MALE","ARM","2002","38003.19"
"REHAB_1","ALL","ARM","2003","35784.33"
"REHAB_1","FEMALE","ARM","2003","34367.78"
"REHAB_1","MALE","ARM","2003","37316.41"
"REHAB_1","ALL","ARM","2004","35609.72"
"REHAB_1","FEMALE","ARM","2004","34598.81"
"REHAB_1","MALE","ARM","2004","36704.05"
"REHAB_1","ALL","ARM","2005","35617.19"
"REHAB_1","FEMALE","ARM","2005","34857.44"
"REHAB_1","MALE","ARM","2005","36440.08"
"REHAB_1","ALL","ARM","2006","35732.80"
"REHAB_1","FEMALE","ARM","2006","35099.15"
"REHAB_1","MALE","ARM","2006","36419.32"
"REHAB_1","ALL","ARM","2007","35830.29"
"REHAB_1","FEMALE","ARM","2007","35303.39"
"REHAB_1","MALE","ARM","2007","36401.19"
"REHAB_1","ALL","ARM","2008","35897.97"
"REHAB_1","FEMALE","ARM","2008","35464.81"
"REHAB_1","MALE","ARM","2008","36367.24"
"REHAB_1","ALL","ARM","2009","35976.30"
"REHAB_1","FEMALE","ARM","2009","35620.48"
"REHAB_1","MALE","ARM","2009","36361.67"
"REHAB_1","ALL","ARM","2010","36105.52"
"REHAB_1","FEMALE","ARM","2010","35820.46"
"REHAB_1","MALE","ARM","2010","36414.09"
"REHAB_1","ALL","ARM","2011","36254.69"
"REHAB_1","FEMALE","ARM","2011","36040.73"
"REHAB_1","MALE","ARM","2011","36486.14"
"REHAB_1","ALL","ARM","2012","36391.46"
"REHAB_1","FEMALE","ARM","2012","36246.89"
"REHAB_1","MALE","ARM","2012","36547.70"
"REHAB_1","ALL","ARM","2013","36510.51"
"REHAB_1","FEMALE","ARM","2013","36435.99"
"REHAB_1","MALE","ARM","2013","36590.97"
"REHAB_1","ALL","ARM","2014","36640.13"
"REHAB_1","FEMALE","ARM","2014","36636.89"
"REHAB_1","MALE","ARM","2014","36643.61"
"REHAB_1","ALL","ARM","2015","36806.23"
"REHAB_1","FEMALE","ARM","2015","36884.54"
"REHAB_1","MALE","ARM","2015","36721.90"
"REHAB_1","ALL","ARM","2016","37145.57"
"REHAB_1","FEMALE","ARM","2016","37372.35"
"REHAB_1","MALE","ARM","2016","36901.67"
"REHAB_1","ALL","ARM","2017","37445.24"
"REHAB_1","FEMALE","ARM","2017","37815.06"
"REHAB_1","MALE","ARM","2017","37047.95"
"REHAB_1","ALL","ARM","2018","37619.54"
"REHAB_1","FEMALE","ARM","2018","38028.32"
"REHAB_1","MALE","ARM","2018","37180.92"
"REHAB_1","ALL","ARM","2019","37794.78"
"REHAB_1","FEMALE","ARM","2019","38216.98"
"REHAB_1","MALE","ARM","2019","37342.25"
"REHAB_1","ALL","AUT","1990","39998.59"
"REHAB_1","FEMALE","AUT","1990","39758.08"
"REHAB_1","MALE","AUT","1990","40258.65"
"REHAB_1","ALL","AUT","1991","39906.39"
"REHAB_1","FEMALE","AUT","1991","39634.70"
"REHAB_1","MALE","AUT","1991","40199.25"
"REHAB_1","ALL","AUT","1992","39839.02"
"REHAB_1","FEMALE","AUT","1992","39536.09"
"REHAB_1","MALE","AUT","1992","40164.71"
"REHAB_1","ALL","AUT","1993","39786.31"
