"Measure code","SEX","COUNTRY_REGION","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"REHAB_1","ALL","GRC","38077.91","38230.22","38319.19","38425.87","38561.75","38724.60","38901.23","39047.78","39174.93","39333.79","39496.96","39704.54","39979.38","40283.17","40575.78","40816.85","41019.59","41191.10","41327.59","41472.22","41660.89","41849.08","41989.00","42116.94","42274.40","42527.27","42963.10","43352.85","43622.10","43898.15"
"REHAB_1","ALL","HUN","44819.14","44796.42","44749.80","44720.05","44719.03","44770.57","44837.76","44895.72","44969.65","45063.41","45191.85","45304.63","45355.62","45398.32","45464.59","45576.10","45697.57","45793.69","45901.49","46049.58","46247.32","46441.38","46597.40","46767.73","46976.44","47233.21","47888.54","48551.60","48911.19","49316.82"
"REHAB_1","ALL","ISL","35051.54","35168.83","35267.97","35371.87","35500.28","35667.84","35895.49","36228.09","36603.51","36952.35","37183.04","37355.72","37547.45","37769.81","38005.46","38202.69","38343.04","38386.81","38378.21","38384.74","38447.81","38480.76","38400.96","38286.74","38233.67","38340.32","38763.40","39202.64","39481.07","39752.59"
"REHAB_1","ALL","IRL","34898.16","35232.54","35533.56","35812.89","36068.89","36308.37","36493.63","36618.56","36714.70","36798.19","36909.43","37048.05","37184.61","37309.68","37406.82","37475.77","37484.89","37433.23","37368.54","37317.88","37332.23","37397.70","37476.21","37594.57","37753.07","37967.96","38320.36","38692.47","38991.24","39284.54"
"REHAB_1","ALL","ISR","31443.04","31517.11","31588.84","31644.55","31724.06","31789.83","31869.81","31907.93","31954.52","32008.11","32112.77","32278.77","32520.97","32583.64","32699.03","32794.17","32945.77","32957.31","33026.66","33051.81","33033.21","33079.00","33106.22","33123.03","33375.94","33328.73","33577.44","33826.53","33913.82","33978.72"
"REHAB_1","ALL","ITA","41559.31","41823.55","42045.76","42247.10","42437.50","42618.18","42765.95","42850.57","42883.61","42866.95","42814.57","42558.91","42025.74","41399.23","40881.65","40695.63","40789.75","40947.66","41132.67","41334.72","41533.28","41726.07","41931.85","42150.73","42391.42","42646.87","42915.99","43233.65","43896.58","44960.42"
"REHAB_1","ALL","KAZ","29940.72","29945.20","29975.87","30032.53","30100.98","30209.30","30364.24","30561.54","30781.87","30995.12","31183.38","31338.66","31454.55","31539.34","31600.85","31652.02","31716.06","31788.84","31855.93","31897.70","31898.46","31832.55","31728.76","31607.20","31495.76","31419.02","31337.89","31340.68","31511.55","31781.28"
"REHAB_1","ALL","KGZ","26331.27","26174.80","26038.16","25906.42","25812.24","25697.77","25637.90","25602.99","25591.39","25588.84","25624.39","25571.31","25520.12","25473.70","25436.42","25422.30","25425.18","25407.22","25402.07","25389.67","25488.83","25461.82","25470.67","25496.09","25543.52","25616.49","25931.45","26276.06","26414.00","26543.14"
"REHAB_1","ALL","LVA","45294.65","44989.92","44773.91","44645.31","44591.64","44661.52","44893.63","45239.82","45606.85","45934.58","46200.44","46284.15","46173.95","45967.80","45750.35","45619.77","45535.96","45438.69","45386.55","45411.49","45515.07","45623.09","45695.35","45743.98","45782.39","45857.11","46074.33","46358.16","46606.59","46883.07"
"REHAB_1","ALL","LTU","41959.99","41706.61","41519.68","41431.18","41425.79","41519.00","41753.28","42083.91","42461.29","42844.74","43210.16","43509.71","43713.72","43877.70","44056.62","44304.57","44613.36","44899.66","45168.04","45437.16","45685.14","45855.73","45942.52","45980.84","45995.20","46030.93","46164.23","46407.35","46720.96","47089.02"
"REHAB_1","ALL","LUX","41286.19","41332.46","41334.32","41298.23","41236.48","41171.89","41050.82","40879.14","40692.11","40525.47","40418.88","40336.94","40277.27","40232.12","40180.07","40171.74","40169.97","40174.92","40179.22","40193.38","40232.94","40239.05","40202.46","40167.58","40181.59","40255.54","40492.95","40765.23","40926.77","41081.75"
"REHAB_1","ALL","MLT","36521.73","36674.60","36840.85","37035.17","37290.86","37562.08","37819.92","38085.22","38378.48","38724.63","39092.52","39509.98","39982.12","40469.00","40955.66","41383.31","41745.81","42076.47","42388.80","42710.90","43033.76","43342.67","43635.54","43929.56","44243.35","44563.17","45123.90","45659.01","45763.36","45569.09"
"REHAB_1","ALL","MNE","","","","","","","","","","","","","","","","","41783.42","41938.72","42074.80","42220.57","42404.04","42601.48","42801.94","43009.94","43233.88","43486.19","44054.31","44628.90","44899.98","45138.07"
"REHAB_1","ALL","NLD","34658.58","34822.75","34985.39","35121.49","35232.83","35330.34","35384.17","35404.78","35399.55","35404.76","35462.04","35567.84","35710.87","35863.65","36036.50","36226.52","36399.81","36566.29","36719.61","36879.53","37081.09","37330.21","37637.08","37962.05","38301.58","38621.54","38904.15","39233.06","39680.85","40233.79"
"REHAB_1","ALL","MKD","37791.28","37875.46","37979.28","38152.25","38374.50","38611.62","38799.46","38633.59","38450.72","39113.32","39869.72","40011.90","40006.71","40134.34","40288.98","40453.53","40553.40","40609.97","40661.15","40758.92","40941.72","41146.97","41336.40","41547.12","41797.03","42070.36","42711.45","43371.68","43684.81","43952.09"
"REHAB_1","ALL","NOR","39834.42","39858.20","39860.11","39848.68","39835.50","39829.26","39804.63","39749.30","39682.26","39624.17","39614.29","39666.81","39755.56","39854.43","39954.57","40037.27","40041.07","39953.43","39811.33","39670.67","39596.72","39576.27","39526.66","39504.85","39519.83","39592.21","39874.48","40212.42","40421.06","40634.30"
"REHAB_1","ALL","POL","42176.05","42030.72","41919.38","41864.12","41879.08","41964.91","42103.70","42274.97","42469.24","42678.17","42895.37","43093.90","43262.85","43428.38","43614.73","43847.81","44101.51","44330.28","44542.17","44751.24","44975.31","45206.70","45428.40","45656.46","45910.24","46199.50","46917.62","47636.84","47951.99","48234.78"
"REHAB_1","ALL","PRT","38346.70","38733.15","39066.40","39369.38","39638.98","39882.15","40057.90","40126.56","40148.96","40162.50","40223.80","40350.61","40478.91","40619.02","40764.48","40917.54","41018.55","41019.68","40995.71","41001.86","41112.21","41318.58","41530.90","41768.06","42011.16","42258.72","42508.32","42773.48","43084.59","43399.35"
"REHAB_1","ALL","MDA","37495.41","37442.36","37590.35","37592.94","37649.16","37756.30","37889.42","38076.18","38289.08","38517.28","38752.37","38939.30","39084.65","39182.19","39277.36","39404.88","39515.73","39622.55","39719.94","39844.11","40015.80","40237.40","40536.07","40855.72","41187.31","41502.19","41949.47","42439.49","42805.15","43201.47"
"REHAB_1","ALL","ROU","43087.58","43187.77","43300.65","43434.01","43571.91","43736.44","43874.41","43988.36","44122.02","44260.33","44424.69","44513.89","44522.50","44521.56","44543.57","44658.17","44807.59","44967.18","45152.25","45341.35","45570.01","45826.69","46102.18","46395.60","46696.73","47004.67","47395.52","47766.33","48042.49","48315.80"
"REHAB_1","ALL","RUS","44375.63","44379.05","44487.50","44609.33","44737.06","44929.49","45269.21","45744.26","46245.08","46747.17","47114.42","47322.99","47448.04","47456.55","47453.62","47469.93","47480.10","47460.11","47369.98","47251.69","47144.60","46956.22","46675.14","46326.46","45986.01","45756.43","45693.13","45791.24","45971.19","46208.98"
"REHAB_1","ALL","SRB","","","","","","","","","","","","","","","","","43699.53","43903.01","44120.76","44306.88","44470.58","44589.81","44673.84","44822.30","44998.62","45174.34","45754.90","46353.97","46599.40","46796.77"
"REHAB_1","ALL","SVK","40584.54","40615.77","40661.87","40736.99","40866.41","41047.62","41229.86","41391.46","41547.67","41716.85","41929.56","42168.22","42401.35","42631.10","42866.68","43125.20","43404.34","43685.28","43953.94","44211.87","44467.61","44722.20","44983.93","45268.58","45578.44","45915.53","46447.48","46970.48","47324.15","47687.55"
"REHAB_1","ALL","SVN","44353.13","44305.21","44331.95","44445.17","44631.49","44894.11","45261.14","45749.41","46306.70","46887.14","47451.06","48037.44","48684.77","49328.81","49903.61","50349.30","50689.04","50982.31","51215.98","51397.85","51534.81","51524.72","51351.85","51133.51","51004.63","51090.30","51704.66","52324.21","52198.03","51470.23"
"REHAB_1","ALL","ESP","38150.00","38242.17","38326.09","38449.88","38631.33","38865.28","39130.94","39321.30","39483.48","39624.11","39740.53","39828.12","39798.36","39732.61","39696.56","39709.22","39797.73","39854.46","39911.23","39988.23","40077.64","40223.96","40401.31","40629.36","40883.98","41130.85","41516.86","41932.70","42357.01","42897.94"
"REHAB_1","ALL","SWE","40187.20","40036.05","39897.03","39788.21","39732.03","39752.75","39801.89","39853.51","39910.13","39978.94","40073.95","40167.59","40235.96","40289.93","40345.74","40402.25","40445.15","40476.43","40499.33","40511.54","40509.75","40484.90","40441.27","40397.04","40376.66","40392.12","40717.94","41077.69","41246.72","41485.52"
"REHAB_1","ALL","CHE","45538.66","45780.37","46020.17","46263.98","46506.34","46731.67","46923.48","47089.64","47235.62","47364.28","47487.06","47566.65","47567.89","47521.29","47464.71","47441.58","47427.78","47379.16","47303.02","47215.95","47130.21","47009.18","46838.76","46668.57","46556.68","46556.21","46755.83","46879.50","46284.98","44983.30"
"REHAB_1","ALL","TJK","23309.25","23088.35","23887.91","26028.94","24653.32","24526.84","25047.28","24706.15","24810.09","24701.62","24653.74","24585.01","24449.05","24305.90","24183.26","24121.07","24094.60","24054.24","24017.14","24002.40","24047.73","24076.28","24117.99","24168.79","24247.27","24368.48","24673.98","24985.85","25117.00","25223.43"
"REHAB_1","ALL","TUR","24239.91","24305.61","24473.17","24591.46","24781.54","24925.31","25129.06","25341.73","25578.25","26288.81","26395.80","26627.71","26855.31","27091.63","27345.32","27622.98","27921.94","28225.82","28531.06","28838.31","29147.20","29465.25","29759.31","30029.44","30301.67","30620.33","31158.99","31684.57","31889.20","31799.65"
"REHAB_1","ALL","TKM","23901.90","24014.37","24067.17","24077.96","24129.94","24246.48","24428.42","24661.69","24931.56","25218.73","25499.17","25749.65","25943.91","26106.23","26256.88","26431.18","26626.27","26833.27","27032.97","27210.34","27367.15","27394.57","27331.04","27221.66","27167.18","27246.51","27587.56","27957.53","28183.04","28384.76"
"REHAB_1","ALL","UKR","44544.95","44492.72","44438.26","44385.28","44384.46","44429.26","44534.83","44664.46","44816.56","45003.10","45173.71","45237.95","45110.92","44868.29","44638.73","44506.39","44505.78","44538.32","44571.90","44636.50","44706.54","44758.67","44778.47","44793.88","44967.89","45115.13","46023.34","46963.85","47193.45","47328.97"
"REHAB_1","ALL","GBR","42125.43","42142.67","42168.24","42195.93","42221.70","42242.26","42258.72","42303.37","42367.74","42437.99","42509.45","42570.66","42639.73","42696.36","42738.06","42778.09","42732.30","42592.79","42421.75","42285.23","42241.45","42157.05","41959.84","41740.95","41589.02","41597.37","42208.34","42854.19","43025.81","43169.78"
